xValue, yValue, zValue ,Button,xGyro, yGyro, zGyro 
-1.2226562,-8.9296875,2.7382812,21,-0.40771484,-0.34277344,0.35742188
-0.9790039,-8.8828125,3.2597656,21,0.14331055,0.17199707,-0.22033691
-1.125,-9.0859375,3.2714844,21,-0.20983887,-0.27368164,0.31811523
-1.1943359,-9.6015625,3.078125,21,-0.06726074,0.047576904,-0.034088135
-1.125,-8.84375,3.1074219,21,-0.31079102,-0.2322998,0.21594238
-1.1132812,-9.484375,2.9980469,21,-0.14807129,-0.030090332,-0.009628296
-1.0048828,-9.0234375,3.0605469,21,-0.21618652,-0.055633545,0.024414062
-1.0410156,-9.5,2.7363281,21,-0.09918213,-0.030090332,0.006328583
-0.8569336,-9.3359375,3.2578125,21,0.6591797,0.2932129,-0.34692383
-1.3261719,-9.25,2.6875,21,-0.17687988,-0.12585449,0.14782715
-0.5073242,-9.703125,3.2597656,21,0.7158203,0.2998047,-0.3383789
-1.1269531,-9.4921875,2.5703125,21,-0.33325195,-0.13757324,0.16479492
-0.5214844,-9.921875,3.3359375,21,0.6591797,0.31884766,-0.37036133
-1.1796875,-9.1484375,2.828125,21,-0.33740234,-0.15454102,0.203125
-0.5288086,-8.25,3.6640625,21,0.60058594,0.25927734,-0.3010254
-1.1269531,-9.453125,2.5800781,21,-0.38208008,-0.21203613,0.21374512
-0.4165039,-8.3359375,3.203125,21,0.57714844,0.38378906,-0.37768555
-1.0214844,-9.0078125,2.8222656,21,-0.28637695,-0.15673828,0.19787598
-0.66552734,-8.3125,4.0976562,21,0.17102051,0.15612793,-0.17236328
-1.0507812,-9.1875,2.7324219,21,-0.3544922,-0.29174805,0.30639648
-0.6152344,-8.4921875,3.828125,21,0.27197266,0.23059082,-0.23095703
-1.1962891,-8.859375,2.71875,21,-0.35888672,-0.33422852,0.39575195
-0.63183594,-8.359375,3.6972656,21,0.39135742,0.22314453,-0.2692871
-0.9838867,-9.1796875,2.8007812,21,-0.28759766,-0.22375488,0.29248047
-0.5385742,-8.8828125,3.5390625,21,0.37109375,0.22521973,-0.2553711
-1.0820312,-9.1328125,2.8984375,21,-0.26098633,-0.22692871,0.2915039
-0.5288086,-9.1328125,3.4589844,21,0.46142578,0.2602539,-0.27441406
-1.1152344,-8.8359375,2.9804688,21,-0.23962402,-0.21313477,0.25634766
-0.6845703,-7.875,4.0117188,21,0.3071289,0.20288086,-0.2298584
-0.93115234,-9.046875,3.1777344,21,-0.2055664,-0.25024414,0.25952148
-0.9145508,-8.40625,3.7675781,21,0.14331055,0.18591309,-0.16174316
-1.0673828,-8.875,3.1523438,21,-0.26831055,-0.17480469,0.14782715
-1.0527344,-9.3671875,3.2363281,21,-0.020477295,0.037994385,-0.041534424
-1.1269531,-9.21875,3.0058594,21,-0.1385498,-0.005619049,-0.065979004
-0.9428711,-9.7265625,3.0722656,21,-0.0715332,-0.036468506,0.023345947
-1.0644531,-9.390625,3.1386719,21,0.07312012,0.12420654,-0.1809082
-1.3134766,-8.9453125,2.8808594,21,-0.05026245,-0.043914795,0.07122803
-0.5673828,-9.875,2.9453125,21,0.39233398,0.20935059,-0.32885742
-1.7470703,-9.1875,2.8554688,22,-0.8227539,-0.12054443,0.10845947
-1.2089844,-9.28125,3.6738281,22,0.9135742,0.22631836,-0.26171875
-1.6923828,-9.5234375,2.3710938,22,-0.7631836,-0.19921875,0.20959473
-1.4052734,-10.2734375,3.3300781,22,0.6743164,0.16137695,-0.2915039
-1.5097656,-9.3359375,3.2246094,22,-0.024734497,-0.009872437,0.23608398
-1.6845703,-9.5,2.828125,22,-0.15771484,0.01991272,-0.3010254
-1.2041016,-7.7929688,4.1835938,22,0.21044922,-0.031158447,0.11804199
-1.6708984,-9.5390625,2.9746094,22,-0.32055664,-0.10986328,0.016967773
-1.4697266,-8.2734375,3.4589844,22,0.01675415,-0.008811951,0.11376953
-1.7373047,-9.046875,3.3320312,22,-0.28320312,-0.017318726,-0.12561035
-1.5195312,-8.71875,3.1679688,22,-0.016220093,-0.053497314,0.12658691
-1.8261719,-8.515625,3.2050781,22,-0.10772705,0.037994385,-0.20214844
-1.4169922,-8.46875,3.2773438,22,0.11462402,-0.041778564,0.08081055
-1.6708984,-8.890625,3.4101562,22,-0.15344238,-0.009872437,-0.12243652
